x,y
99.7989,129.692
99.7984,129.759
99.7979,129.826
99.7975,129.893
99.7971,129.96
99.7968,130.027
99.7964,130.094
99.7961,130.16
99.7958,130.227
99.7954,130.293
99.795,130.359
99.7946,130.425
99.7941,130.491
99.7935,130.557
99.7929,130.622
99.7923,130.688
99.7917,130.753
99.791,130.818
99.7905,130.883
99.7899,130.948
99.7895,131.014
99.7891,131.079
99.7889,131.144
99.7887,131.209
99.7886,131.274
99.7886,131.339
99.7887,131.404
99.7888,131.468
99.789,131.533
99.7891,131.597
99.7892,131.662
99.7893,131.726
99.7894,131.79
99.7894,131.855
99.7894,131.918
99.7894,131.982
99.7894,132.046
99.7894,132.109
99.7894,132.173
99.7894,132.236
99.7895,132.298
99.7896,132.361
99.7898,132.423
99.79,132.486
99.7903,132.548
99.7906,132.609
99.7909,132.671
99.7912,132.733
99.7915,132.794
99.7918,132.855
99.792,132.916
99.7921,132.977
99.7922,133.038
99.7922,133.099
99.7922,133.16
99.792,133.22
99.7919,133.281
99.7917,133.341
99.7915,133.402
99.7913,133.462
99.7911,133.522
99.7909,133.582
99.7908,133.642
99.7908,133.702
99.7908,133.762
99.7908,133.821
99.7909,133.88
99.791,133.939
99.7911,133.998
99.7912,134.057
99.7913,134.115
99.7914,134.173
99.7915,134.231
99.7916,134.289
99.7916,134.346
99.7916,134.404
99.7916,134.462
99.7916,134.52
99.7915,134.577
99.7916,134.635
99.7916,134.692
99.7917,134.75
99.7919,134.807
99.7922,134.864
99.7925,134.921
99.793,134.979
99.7935,135.036
99.794,135.093
99.7946,135.151
99.7952,135.208
99.7957,135.265
99.7962,135.323
99.7967,135.38
99.797,135.438
99.7973,135.495
99.7975,135.552
99.7976,135.609
99.7977,135.665
99.7977,135.722
99.7977,135.778
99.7976,135.834
99.7976,135.89
99.7976,135.946
99.7976,136.002
99.7976,136.057
99.7978,136.113
99.798,136.168
99.7983,136.224
99.7987,136.279
99.7992,136.335
99.7997,136.391
99.8004,136.447
99.8011,136.504
99.8018,136.56
99.8025,136.617
99.8032,136.675
99.8038,136.732
99.8043,136.79
99.8046,136.848
99.8049,136.907
99.805,136.965
99.8049,137.023
99.8047,137.081
99.8045,137.14
99.8041,137.198
99.8038,137.257
99.8035,137.315
99.8032,137.374
99.8029,137.432
99.8027,137.49
99.8026,137.549
99.8026,137.606
