y1,x1,wave_ht,tuning_factor
500,500,3.8,0.0158338
500,500,3.1,0.0209588
500,500,2.3,0.0261581
500,500,3.5,0.0187401
500,500,3.2,0.0161967
500,500,2.5,0.0191369
500,500,2.7,0.018065
500,500,2.6,0.0163469
500,500,3,0.0156843
500,500,3.1,0.014252
500,500,2.8,0.014362
500,500,3.3,0.0120262
500,500,2.6,0.0130248
500,500,3.3,0.0118658
500,500,2.5,0.0166971
500,500,2.9,0.0161727
500,500,3.5,0.0172302
500,500,2.8,0.0211254
500,500,3,0.0162111
500,500,3.6,0.0135902
500,500,3.1,0.0158178
500,500,3.3,0.0142427
500,500,3.5,0.0144913
500,500,3.4,0.0127199
500,500,2.9,0.0163355
500,500,3.6,0.0141615
500,500,2.7,0.0171882
500,500,2.8,0.0196244
500,500,2.8,0.0201748
500,500,3.3,0.0210887
500,500,3.3,0.0146612
500,500,3.3,0.0125695
500,500,2.5,0.0174899
500,500,2.8,0.019072
500,500,2.9,0.0215554
500,500,3.4,0.0198532
500,500,3.1,0.0249755
500,500,3.5,0.0218211
500,500,3.7,0.0145477
500,500,3,0.0143966
500,500,4.3,0.00896683
500,500,3.6,0.0110893
500,500,3.7,0.0120259
500,500,3.3,0.0146468
500,500,3.1,0.0180205
500,500,3.1,0.0187719
500,500,3.6,0.0154971
500,500,3.5,0.0154177
500,500,3.7,0.0172754
500,500,2.9,0.0231155
500,500,2.7,0.032272
500,500,3.1,0.0345743
500,500,2.9,0.0388196
500,500,3.6,0.0357198
500,500,2.9,0.0427693
500,500,2.9,0.0334469
500,500,3.1,0.0297366
500,500,3.4,0.0252227
500,500,2.8,0.0312659
500,500,3.1,0.0352687
500,500,3.1,0.0391079
500,500,3.1,0.037006
500,500,3.3,0.0315906
500,500,3.7,0.0298549
500,500,2.7,0.0330001
500,500,2.8,0.0339277
500,500,3.7,0.0290983
500,500,2.6,0.0368354
500,500,3.3,0.0322371
500,500,3.6,0.0267258
500,500,3.9,0.021014
500,500,3.8,0.0170528
500,500,3.8,0.0172789
500,500,3.3,0.0179921
500,500,2.7,0.0252986
500,500,3.1,0.028461
500,500,3,0.0280105
500,500,3.5,0.0264245
500,500,3,0.0320555
500,500,3.5,0.0338104
500,500,3,0.0349031
500,500,3.2,0.0323686
500,500,2.8,0.036427
500,500,4,0.0273911
500,500,3.6,0.0248566
500,500,3.6,0.0203729
500,500,3.4,0.0187834
500,500,2.9,0.0180663
500,500,2.9,0.0139469
500,500,3.3,0.0113405
500,500,4.2,0.0117744
500,500,3.3,0.0188087
500,500,3.3,0.0286977
500,500,3.1,0.0378503
500,500,4,0.0337953
500,500,3.3,0.0373063
