Timestamp(UTC), Latitude, Longitude, Wave Height(meters), Wave Direction(degrees T), Average Wave Period(seconds), Dominant Wave Period(seconds)
2011-12-04 03:30:00, 36.7846, -122.1004,  1.6,  91,  6.5, 12.8
2011-12-04 04:00:00, 36.7877, -122.1093,  1.5,  88,  8.5, 14.2
2011-12-04 04:30:00, 36.7896, -122.1152,  1.8,  67,  8.7, 14.2
2011-12-04 05:00:00, 36.7911, -122.1191,  1.4,  98,  7.6, 14.2
2011-12-04 05:30:00, 36.7926, -122.1234,  1.7,  68,  8.5, 11.6
2011-12-04 06:00:00, 36.7939, -122.1273,  2.1,  68,  9.0, 12.8
2011-12-04 06:30:00, 36.7951, -122.1312,  1.8,  85,  8.3, 12.8
2011-12-04 07:00:00, 36.7963, -122.1348,  1.6,  74,  7.4, 14.2
2011-12-04 07:30:00, 36.7978, -122.1390,  1.5,  75,  8.6, 14.2
2011-12-04 08:00:00, 36.7994, -122.1440,  1.6,  79,  7.8, 16.0
2011-12-04 08:30:00, 36.8013, -122.1492,  1.6,  89,  7.5, 14.2
2011-12-04 09:00:00, 36.8032, -122.1545,  1.6,  70,  7.6, 14.2
2011-12-04 09:30:00, 36.8051, -122.1601,  1.7,  71,  7.5, 14.2
2011-12-04 10:00:00, 36.8074, -122.1670,  1.7,  64,  8.3, 16.0
2011-12-04 10:30:00, 36.8017, -122.1648,  2.0,  77, 10.9, 14.2
2011-12-04 11:00:00, 36.7979, -122.1538,  1.7,  67,  7.0,  9.8
2011-12-04 11:30:00, 36.7941, -122.1425,  1.6, 106,  6.7, 21.3
2011-12-04 22:00:00, 36.7842, -122.1214,  1.5,  76,  8.1, 11.6
2011-12-04 22:30:00, 36.7821, -122.1136,  1.7,  65,  8.1, 12.8
2011-12-04 23:00:00, 36.7795, -122.1041,  1.5,  94,  7.6, 11.6
2011-12-04 23:30:00, 36.7766, -122.0935,  1.4,  57,  7.6, 10.7
2011-12-05 00:00:00, 36.7733, -122.0818,  1.6,  70,  7.6, 12.8
2011-12-05 00:30:00, 36.7781, -122.0812,  1.9,  84,  7.7, 14.2
2011-12-05 01:00:00, 36.7812, -122.0900,  1.8,  68,  6.8, 25.6
2011-12-05 01:30:00, 36.7845, -122.0999,  1.8, 329,  7.0, 25.6
2011-12-05 02:00:00, 36.7876, -122.1089,  1.5,  83,  6.3, 11.6
2011-12-05 02:30:00, 36.7906, -122.1179,  1.8,  57,  7.1,  8.5
2011-12-05 03:00:00, 36.7937, -122.1269,  2.0, 115,  8.2, 21.3
2011-12-05 03:30:00, 36.7968, -122.1360,  2.4, 109, 11.5, 12.8
2011-12-05 04:00:00, 36.7993, -122.1434,  1.9, 103,  9.6, 14.2
2011-12-05 05:30:00, 36.8052, -122.1606,  1.6,  56,  8.9,  9.8
2011-12-05 06:00:00, 36.8063, -122.1637,  1.8, 111,  6.2, 25.6
2011-12-05 06:30:00, 36.8045, -122.1691,  1.7,  71, 10.4,  9.8
2011-12-05 07:00:00, 36.8007, -122.1619,  1.6,  49,  9.1,  9.8
2011-12-05 07:30:00, 36.7986, -122.1560,  1.5,  54,  8.2,  9.8
2011-12-05 08:00:00, 36.7972, -122.1515,  1.5,  63,  8.7, 10.7
2011-12-05 08:30:00, 36.7959, -122.1470,  1.5,  57,  7.3, 10.7
2011-12-05 09:00:00, 36.7938, -122.1416,  2.1,  57, 10.5, 10.7
2011-12-05 09:30:00, 36.7917, -122.1355,  1.5,  80,  7.7,  9.1
2011-12-05 10:00:00, 36.7894, -122.1286,  1.9,  76,  8.5, 11.6
2011-12-05 10:30:00, 36.7877, -122.1235,  1.7,  57,  8.7,  8.0
2011-12-05 16:30:00, 36.7851, -122.1016,  1.7,  67,  7.2, 11.6
2011-12-05 17:00:00, 36.7901, -122.1160,  1.8,  43,  7.3,  9.1
2011-12-05 17:30:00, 36.7958, -122.1330,  1.5,  66,  6.9,  7.5
2011-12-07 20:00:00, 36.7793, -122.0751,  0.9, 319, 10.2, 12.8
2011-12-07 20:30:00, 36.7747, -122.0909,  1.5, 240,  8.7, 14.2
2011-12-07 21:00:00, 36.7864, -122.0907,  0.8, 224,  5.5, 14.2
2011-12-07 21:30:00, 36.7959, -122.0876,  0.8, 279,  7.2, 12.8
2011-12-08 00:00:00, 36.7946, -122.0853,  0.9, 230,  6.1, 12.8
2011-12-08 00:30:00, 36.7878, -122.0682,  1.0, 276,  5.3, 14.2
2011-12-08 01:00:00, 36.7869, -122.0516,  1.0, 294,  4.8, 12.8
2011-12-08 01:30:00, 36.7831, -122.0340,  1.0, 288,  4.7,  4.3
2011-12-08 02:00:00, 36.7794, -122.0171,  1.0, 290,  4.6,  4.6
2011-12-08 02:30:00, 36.7716, -122.0088,  1.2, 314,  4.5,  4.1
2011-12-08 03:00:00, 36.7651, -121.9990,  1.3, 306,  4.2,  4.4
2011-12-08 03:30:00, 36.7659, -121.9844,  1.0, 283,  4.8,  5.8
2011-12-08 04:00:00, 36.7665, -121.9702,  1.0, 285,  5.0,  5.1
2011-12-08 04:30:00, 36.7685, -121.9569,  0.9, 291,  5.3,  5.3
2011-12-08 05:00:00, 36.7725, -121.9464,  0.9, 275,  5.4,  4.9
2011-12-08 05:30:00, 36.7674, -121.9346,  0.9, 299,  5.3,  5.8
2011-12-08 06:00:00, 36.7548, -121.9342,  1.1, 279,  4.7,  5.6
2011-12-08 06:30:00, 36.7489, -121.9469,  1.1, 359,  4.8, 12.8
2011-12-08 07:00:00, 36.7539, -121.9580,  0.9, 309,  4.4, 10.7
2011-12-08 07:30:00, 36.7628, -121.9599,  0.9, 322,  4.8, 12.8
2011-12-08 08:00:00, 36.7696, -121.9542,  1.0, 289,  5.0, 16.0
2011-12-08 08:30:00, 36.7722, -121.9450,  0.9, 303,  5.1,  4.9
2011-12-08 09:00:00, 36.7674, -121.9348,  1.0, 241,  5.6, 12.8
2011-12-08 09:30:00, 36.7575, -121.9339,  0.9, 256,  5.1, 14.2
2011-12-08 10:00:00, 36.7511, -121.9422,  0.9, 276,  4.9, 11.6
2011-12-08 10:30:00, 36.7520, -121.9537,  0.8, 292,  4.5, 12.8
2011-12-08 11:00:00, 36.7588, -121.9601,  0.7, 223,  5.1, 11.6
2011-12-08 11:30:00, 36.7676, -121.9588,  0.8, 311,  5.0, 10.7
2011-12-08 12:00:00, 36.7722, -121.9487,  0.9, 309,  5.5, 12.8
2011-12-08 12:30:00, 36.7695, -121.9394,  0.9, 279,  4.7, 12.8
2011-12-08 13:00:00, 36.7625, -121.9339,  0.9, 216,  4.6, 12.8
2011-12-08 13:30:00, 36.7536, -121.9366,  0.9, 286,  5.1, 12.8
2011-12-08 14:00:00, 36.7491, -121.9472,  0.8, 266,  4.9, 14.2
2011-12-08 14:30:00, 36.7547, -121.9596,  0.9, 153,  5.4, 14.2
2011-12-08 15:00:00, 36.7668, -121.9600,  0.9, 263,  4.5, 14.2
2011-12-08 15:30:00, 36.7712, -121.9509,  0.9, 260,  4.7, 12.8
2011-12-08 16:00:00, 36.7713, -121.9431,  0.9, 270,  5.7, 12.8
2011-12-08 16:30:00, 36.7677, -121.9354,  0.8, 265,  4.9, 11.6
2011-12-08 17:00:00, 36.7602, -121.9339,  0.8, 271,  4.6, 12.8
2011-12-08 17:30:00, 36.7534, -121.9372,  0.9, 287,  6.6, 14.2
2011-12-08 18:00:00, 36.7492, -121.9462,  0.8, 271,  5.3, 12.8
2011-12-08 18:30:00, 36.7536, -121.9572,  0.9, 208,  5.8, 12.8
2011-12-08 19:00:00, 36.7644, -121.9600,  0.9, 264,  5.4, 12.8
2011-12-08 19:30:00, 36.7714, -121.9507,  0.8, 307,  5.6, 12.8
2011-12-08 20:00:00, 36.7705, -121.9414,  0.8, 260,  7.9, 11.6
2011-12-08 20:30:00, 36.7664, -121.9338,  0.7, 291,  7.7, 12.8
2011-12-08 21:00:00, 36.7611, -121.9339,  0.8, 277,  6.8, 12.8
2011-12-08 21:30:00, 36.7563, -121.9339,  0.8, 270,  7.3, 11.6
2011-12-08 22:00:00, 36.7537, -121.9365,  0.7, 320,  5.7, 11.6
2011-12-08 22:30:00, 36.7519, -121.9404,  0.9, 278,  6.2, 11.6
2011-12-08 23:00:00, 36.7501, -121.9444,  0.7, 337,  5.0, 10.7
2011-12-08 23:30:00, 36.7496, -121.9483,  0.8, 276,  5.1, 14.2
2011-12-09 00:00:00, 36.7511, -121.9518,  0.8, 301,  5.4, 10.7
2011-12-09 00:30:00, 36.7527, -121.9552,  0.7, 277,  4.7, 12.8
2011-12-09 01:00:00, 36.7552, -121.9576,  0.9, 284,  6.6, 12.8
2011-12-09 01:30:00, 36.7606, -121.9504,  0.8, 326,  4.9, 12.8
2011-12-09 02:00:00, 36.7594, -121.9473,  0.8, 272,  5.2, 11.6
2011-12-09 02:30:00, 36.7617, -121.9500,  0.8, 271,  6.0, 10.7
2011-12-09 03:00:00, 36.7593, -121.9446,  0.7, 261,  5.5, 14.2
2011-12-09 03:30:00, 36.7602, -121.9504,  0.7, 272,  5.5, 11.6
2011-12-09 04:00:00, 36.7599, -121.9455,  0.7, 278,  5.5, 12.8
2011-12-09 04:30:00, 36.7622, -121.9483,  0.8, 302,  5.8, 12.8
2011-12-09 05:00:00, 36.7594, -121.9475,  0.7, 302,  6.9, 10.7
2011-12-09 05:30:00, 36.7625, -121.9461,  0.7, 274,  5.6, 12.8
2011-12-09 06:00:00, 36.7604, -121.9490,  0.8, 247,  6.3, 12.8
2011-12-09 06:30:00, 36.7607, -121.9451,  0.8, 280,  6.3, 14.2
2011-12-09 07:00:00, 36.7624, -121.9480,  0.9, 296,  6.0, 14.2
2011-12-09 07:30:00, 36.7596, -121.9482,  0.8, 280,  6.2, 11.6
2011-12-09 08:00:00, 36.7609, -121.9450,  0.9, 246,  5.5, 12.8
2011-12-09 08:30:00, 36.7626, -121.9466,  0.9, 278,  6.0, 11.6
2011-12-09 09:00:00, 36.7622, -121.9481,  0.9, 280,  6.2, 10.7
2011-12-09 09:30:00, 36.7609, -121.9490,  0.9, 255,  5.3, 12.8
