t1,t2,y1,x1,y2,x2, Wave Height(meters),delta_t(sec),delta_d(m),avg_speed(m/s)
2012-01-25 18:00:00,2012-01-25 18:30:00,28.8454,-144.0637,28.8418,-144.0713,3.3,1800,842.165001637957,0.46786944535442
2012-01-25 18:30:00,2012-01-25 19:00:00,28.8418,-144.0713,28.8385,-144.0782,3.3,1800,766.281023934257,0.425711679963476
2012-01-25 19:00:00,2012-01-25 19:30:00,28.8385,-144.0782,28.835,-144.0851,3.25,1800,777.124283479544,0.431735713044191
2012-01-25 19:30:00,2012-01-25 20:00:00,28.835,-144.0851,28.8314,-144.0928,3.55,1800,850.837053386699,0.4726872518815
2012-01-25 20:00:00,2012-01-25 20:30:00,28.8314,-144.0928,28.8277,-144.1003,3.35,1800,839.030918583729,0.466128288102072
2012-01-25 21:00:00,2012-01-25 21:30:00,28.8237,-144.1086,28.8201,-144.1161,3.95,1800,833.716729017748,0.463175960565415
2012-01-25 21:30:00,2012-01-25 22:00:00,28.8201,-144.1161,28.8166,-144.1231,3.75,1800,785.699697000924,0.43649983166718
2012-01-25 22:00:00,2012-01-25 22:30:00,28.8166,-144.1231,28.8129,-144.1307,3.75,1800,847.650382571076,0.470916879206153
2012-01-27 15:30:00,2012-01-27 16:00:00,28.3678,-145.0453,28.3646,-145.052,2.25,1800,746.414456085621,0.414674697825345
2012-01-27 16:00:00,2012-01-27 16:30:00,28.3646,-145.052,28.3611,-145.0588,2.4,1800,771.247229178588,0.428470682876993
2012-01-27 16:30:00,2012-01-27 17:00:00,28.3611,-145.0588,28.3577,-145.0659,2.45,1800,791.487375995079,0.439715208886155
2012-01-27 17:00:00,2012-01-27 17:30:00,28.3577,-145.0659,28.3541,-145.0734,2.4,1800,836.545585865891,0.464747547703273
2012-01-27 17:30:00,2012-01-27 18:00:00,28.3541,-145.0734,28.3504,-145.081,2.5,1800,850.485315451455,0.472491841917475
2012-01-27 18:00:00,2012-01-27 18:30:00,28.3504,-145.081,28.3466,-145.0888,2.3,1800,873.030581168398,0.485016989537999
2012-01-27 20:00:00,2012-01-27 20:30:00,28.3335,-145.1156,28.3294,-145.1237,2.4,1800,915.064729288122,0.508369294048957
2012-01-27 20:30:00,2012-01-27 21:00:00,28.3294,-145.1237,28.3255,-145.1318,2.35,1800,904.289256579374,0.502382920321874
2012-01-27 21:30:00,2012-01-27 22:00:00,28.3215,-145.136,28.3184,-145.1438,2.55,1800,838.552977695281,0.465862765386267
2012-01-27 22:00:00,2012-01-27 22:30:00,28.3184,-145.1438,28.3149,-145.1516,2.5,1800,857.689818021144,0.47649434334508
2012-01-27 22:30:00,2012-01-27 23:00:00,28.3149,-145.1516,28.3115,-145.1593,2.5,1800,843.970090761639,0.468872272645355
2012-01-27 23:00:00,2012-01-27 23:30:00,28.3115,-145.1593,28.3086,-145.1667,2.5,1800,793.759595402917,0.440977553001621
2012-01-27 23:30:00,2012-01-28 00:00:00,28.3086,-145.1667,28.3055,-145.1736,2.35,1800,758.972436821099,0.4216513537895
2012-01-28 07:30:00,2012-01-28 08:00:00,28.2689,-145.2607,28.2659,-145.2674,2.15,1800,736.681407444237,0.409267448580131
2012-01-28 08:00:00,2012-01-28 08:30:00,28.2659,-145.2674,28.2632,-145.2742,2.25,1800,731.243929015503,0.406246627230835
2012-01-28 15:30:00,2012-01-28 16:00:00,28.2335,-145.3438,28.2307,-145.3507,1.7,1800,744.942474530985,0.413856930294991
2012-01-28 16:00:00,2012-01-28 16:30:00,28.2307,-145.3507,28.2278,-145.3576,1.75,1800,749.642708553483,0.416468171418602
2012-01-28 16:30:00,2012-01-28 22:30:00,28.2278,-145.3576,28.191,-145.4443,1.85,21600,9438.05238779045,0.436946869805113
2012-01-29 00:00:00,2012-01-29 00:30:00,28.183,-145.4633,28.1801,-145.4699,2.05,1800,723.407240412203,0.401892911340113
2012-01-29 13:00:00,2012-01-29 13:30:00,28.1294,-145.5901,28.1264,-145.5971,3.15,1800,763.864694482846,0.424369274712692
2012-01-29 13:30:00,2012-01-29 14:00:00,28.1264,-145.5971,28.123,-145.605,3.75,1800,862.78676294121,0.479325979411783
2012-01-29 14:00:00,2012-01-29 14:30:00,28.123,-145.605,28.1198,-145.6128,3.95,1800,844.435069390288,0.469130594105716
2012-01-29 14:30:00,2012-01-29 15:00:00,28.1198,-145.6128,28.1163,-145.6208,3.45,1800,876.526659551151,0.486959255306195
2012-01-29 15:00:00,2012-01-29 15:30:00,28.1163,-145.6208,28.1129,-145.6291,3.45,1800,898.373549166684,0.499096416203713
2012-01-29 16:00:00,2012-01-29 16:30:00,28.1093,-145.6379,28.1058,-145.646,2.9,1800,885.417842909381,0.491898801616323
2012-01-29 16:30:00,2012-01-29 17:00:00,28.1058,-145.646,28.1024,-145.6538,3.5,1800,854.090051380476,0.474494472989154
2012-01-29 17:00:00,2012-01-29 17:30:00,28.1024,-145.6538,28.0993,-145.6612,3.55,1800,804.264785933524,0.446813769963069
2012-01-29 17:30:00,2012-01-29 18:00:00,28.0993,-145.6612,28.0962,-145.6684,3.1,1800,786.557063231279,0.4369761462396
2012-01-29 18:00:00,2012-01-29 18:30:00,28.0962,-145.6684,28.0933,-145.6755,2.9,1800,768.212930073982,0.426784961152212
2012-01-29 18:30:00,2012-01-29 19:00:00,28.0933,-145.6755,28.0904,-145.6821,3.15,1800,723.889191906313,0.402160662170174
2012-01-29 23:00:00,2012-01-29 23:30:00,28.0754,-145.7175,28.0724,-145.7247,3.2,1800,781.921325044581,0.434400736135878
2012-01-29 23:30:00,2012-01-30 00:00:00,28.0724,-145.7247,28.0691,-145.7325,3.25,1800,849.4723221577,0.471929067865389
2012-01-30 00:00:00,2012-01-30 00:30:00,28.0691,-145.7325,28.0658,-145.7401,3.2,1800,831.791430912746,0.462106350507081
2012-01-30 04:30:00,2012-01-30 05:00:00,28.0284,-145.8125,28.0242,-145.8201,3.1,1800,880.452997807401,0.489140554337445
2012-01-30 05:00:00,2012-01-30 05:30:00,28.0242,-145.8201,28.0202,-145.8277,3,1800,868.964130905071,0.482757850502817
2012-01-30 05:30:00,2012-01-30 06:00:00,28.0202,-145.8277,28.0166,-145.8348,2.85,1800,804.186467252428,0.446770259584682
2012-01-30 06:30:00,2012-01-30 07:00:00,28.0133,-145.8408,28.0099,-145.847,2.35,1800,716.796901944508,0.398220501080282
2012-01-30 08:30:00,2012-01-30 09:00:00,28.0006,-145.8647,27.9969,-145.8715,2.7,1800,784.545165404123,0.435858425224513
2012-01-30 09:00:00,2012-01-30 09:30:00,27.9969,-145.8715,27.9933,-145.8787,2.8,1800,812.872206641692,0.451595670356495
2012-01-30 09:30:00,2012-01-30 10:00:00,27.9933,-145.8787,27.9896,-145.8855,2.55,1800,784.583360785012,0.435879644880562
2012-01-30 10:00:00,2012-01-30 10:30:00,27.9896,-145.8855,27.9856,-145.893,2.6,1800,860.72123163369,0.478178462018716
