y1,x1,wave_ht,tuning_factor
25.4868,-150.937,3.35,0.0828009
25.4829,-150.943,3.1,0.0565863
25.4788,-150.949,2.7,0.0733971
25.4748,-150.955,2.8,0.0766334
25.4708,-150.962,2.95,0.0589532
25.4662,-150.968,3.3,0.0742577
25.4619,-150.975,3.5,0.132371
25.4574,-150.982,2.95,0.0612146
25.4533,-150.988,3,0.139618
25.4488,-150.995,3.5,0.0777593
25.4442,-151.002,3.35,0.0983133
25.4396,-151.009,3.3,0.126389
25.4044,-151.063,3.25,0.10711
25.4001,-151.069,3.1,0.0556065
25.3813,-151.098,3.65,0.146843
25.2298,-151.328,3.55,0.0649908
25.2257,-151.334,3.4,0.0590275
25.2216,-151.341,3.3,0.0974801
25.2171,-151.347,3.45,0.0712358
25.2124,-151.354,3.35,0.0626413
25.208,-151.361,3.2,0.0829768
23.5091,-154.073,2.2,0.0761776
23.5129,-154.08,2.3,0.0589993
23.5166,-154.088,2.4,0.0956782
23.5206,-154.095,2.25,0.0542001
23.5256,-154.1,2.05,0.0519583
23.5322,-154.1,2,0.0493497
23.5388,-154.1,2.25,0.0826902
23.5461,-154.1,2.35,0.0826902
23.5535,-154.099,2.15,0.0861174
23.5612,-154.1,2.2,0.0830487
23.5014,-154.053,3.25,0.0603569
23.5027,-154.061,3.4,0.0840851
23.5066,-154.068,3.1,0.0989425
23.5423,-154.104,3.15,0.0826879
23.5189,-154.111,2.9,0.150933
23.1963,-154.272,2.65,0.0915414
23.1896,-154.275,2.55,0.062151
23.1832,-154.279,2.7,0.0828293
23.1773,-154.283,2.85,0.0955213
23.1708,-154.286,2.75,0.057878
23.1641,-154.29,2.95,0.113943
23.1419,-154.303,2.85,0.100999
22.4681,-154.692,3.35,0.0829208
22.4614,-154.696,3.45,0.110628
22.4555,-154.699,3.55,0.0829888
22.444,-154.706,2.8,0.0548083
22.4381,-154.709,3.25,0.0936827
22.2332,-154.827,2.35,0.0901592
22.2261,-154.831,2.65,0.0524097
22.2196,-154.835,2.9,0.0522292
22.2134,-154.838,2.8,0.176025
21.899,-155.018,2.6,0.104859
21.892,-155.022,2.85,0.0830931
21.885,-155.026,2.95,0.0660304
21.878,-155.03,2.75,0.0920844
21.8715,-155.033,2.5,0.0596181
21.8653,-155.037,2.4,0.0486093
21.8439,-155.049,2.55,0.0922789
21.8324,-155.056,2.55,0.0639342
21.8259,-155.06,2.8,0.0573578
21.8194,-155.063,2.85,0.0933797
21.813,-155.067,2.7,0.0498271
21.8071,-155.07,2.5,0.0753481
21.8011,-155.073,2.7,0.0556753
21.7949,-155.077,3,0.0759747
21.7881,-155.081,2.9,0.0964505
21.7815,-155.085,2.65,0.0641269
21.7746,-155.089,2.7,0.0592827
21.7678,-155.092,2.8,0.0898454
